cell_line,drug_name,total_drugs_for_cell_line,possible_combinations
KMSIIHIGH4547,ONALESPIB,22,231
KMSIIHIGH4547,AZD7762,22,231
KMSIIHIGH4547,CARFILZOMIB,22,231
KMSIIHIGH4547,VORINOSTAT,22,231
KMSIIHIGH4547,RAF265,22,231
KMSIIHIGH4547,BAY 65-1942,22,231
KMSIIHIGH4547,CEDIRANIB,22,231
KMSIIHIGH4547,AZD1480,22,231
KMSIIHIGH4547,AZD4547,22,231
KMSIIHIGH4547,SAPITINIB,22,231
EFM192B,MK-4541,34,561
EFM192B,BORTEZOMIB,34,561
EFM192B,DOXORUBICIN,34,561
EFM192B,VINBLASTINE,34,561
EFM192B,VELIPARIB,34,561
EFM192B,ERLOTINIB,34,561
EFM192B,TOPOTECAN,34,561
EFM192B,NIRAPARIB,34,561
EFM192B,DASATINIB,34,561
EFM192B,METHOTREXATE,34,561
EFM192B,TEMOZOLOMIDE,34,561
EFM192B,LAPATINIB,34,561
EFM192B,VORINOSTAT,34,561
EFM192B,ETOPOSIDE,34,561
EFM192B,GEMCITABINE,34,561
EFM192B,ELOXATIN (TN),34,561
EFM192B,391210-10-9,34,561
EFM192B,MK-5108,34,561
EFM192B,PACLITAXEL,34,561
EFM192B,VINORELBINE,34,561
EFM192B,5-FLUOROURACIL,34,561
EFM192B,DEFOROLIMUS,34,561
EFM192B,MK-1775,34,561
EFM192B,MK-2206,34,561
EFM192B,GELDANAMYCIN,34,561
EFM192B,891494-63-6,34,561
EFM192B,DEXAMETHASONE,34,561
EFM192B,DINACICLIB,34,561
EFM192B,CARBOPLATINUM,34,561
EFM192B,CYCLOPHOSPHAMIDE,34,561
EFM192B,915019-65-7,34,561
EFM192B,METFORMIN,34,561
EFM192B,7-ETHYL-10-HYDROXYCAMPTOTHECIN,34,561
EFM192B,SUNITINIB,34,561
OCUBM,MK-4541,34,561
OCUBM,BORTEZOMIB,34,561
OCUBM,DOXORUBICIN,34,561
OCUBM,VINBLASTINE,34,561
OCUBM,VELIPARIB,34,561
OCUBM,ERLOTINIB,34,561
OCUBM,TOPOTECAN,34,561
OCUBM,NIRAPARIB,34,561
OCUBM,DASATINIB,34,561
OCUBM,METHOTREXATE,34,561
OCUBM,TEMOZOLOMIDE,34,561
OCUBM,LAPATINIB,34,561
OCUBM,VORINOSTAT,34,561
OCUBM,ETOPOSIDE,34,561
OCUBM,GEMCITABINE,34,561
OCUBM,ELOXATIN (TN),34,561
OCUBM,391210-10-9,34,561
OCUBM,MK-5108,34,561
OCUBM,PACLITAXEL,34,561
OCUBM,VINORELBINE,34,561
OCUBM,5-FLUOROURACIL,34,561
OCUBM,DEFOROLIMUS,34,561
OCUBM,MK-1775,34,561
OCUBM,MK-2206,34,561
OCUBM,GELDANAMYCIN,34,561
OCUBM,891494-63-6,34,561
OCUBM,DEXAMETHASONE,34,561
OCUBM,DINACICLIB,34,561
OCUBM,CARBOPLATINUM,34,561
OCUBM,CYCLOPHOSPHAMIDE,34,561
OCUBM,915019-65-7,34,561
OCUBM,METFORMIN,34,561
OCUBM,7-ETHYL-10-HYDROXYCAMPTOTHECIN,34,561
OCUBM,SUNITINIB,34,561
BT-20,OLAPARIB,31,465
BT-20,AZ12419304,31,465
BT-20,CARBOPLATIN PACLITAXEL,31,465
BT-20,AZD8186,31,465
BT-20,957054-30-7,31,465
BT-20,CHLOROQUINE,31,465
BT-20,AZD5582,31,465
BT-20,AZD2014,31,465
BT-20,SELUMETINIB,31,465
BT-20,TRAMETINIB,31,465
BT-20,AZD6738,31,465
BT-20,AZD7762,31,465
BT-20,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),31,465
BT-20,ASTRAZENECA SLC16A4 INHIBITOR,31,465
BT-20,ALPELISIB,31,465
BT-20,BUPARLISIB,31,465
BT-20,1309805-49-9,31,465
BT-20,AZD1208,31,465
BT-20,AFATINIB,31,465
BT-20,41575-94-4,31,465
BT-20,MK-2206,31,465
BT-20,AZD4320,31,465
BT-20,AZD5363,31,465
BT-20,ASTRAZENECA PIP5K1 INHIBITOR,31,465
BT-20,"001, RAD",31,465
BT-20,AZD3463,31,465
BT-20,GEFITINIB,31,465
BT-20,FULVESTRANT,31,465
BT-20,TAMOXIFEN,31,465
BT-20,AZD4547,31,465
BT-20,SAPITINIB,31,465
BT-474,PEVONEDISTAT,52,1326
BT-474,AZ12419304,52,1326
BT-474,ENTINOSTAT,52,1326
BT-474,TEMSIROLIMUS,52,1326
BT-474,CHLOROQUINE,52,1326
BT-474,1224844-38-5,52,1326
BT-474,AZD5582,52,1326
BT-474,AZD2014,52,1326
BT-474,SELUMETINIB,52,1326
BT-474,TRAMETINIB,52,1326
BT-474,781661-94-7,52,1326
BT-474,ONALESPIB,52,1326
BT-474,AZD7762,52,1326
BT-474,CARFILZOMIB,52,1326
BT-474,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),52,1326
BT-474,VORINOSTAT,52,1326
BT-474,RAF265,52,1326
BT-474,PERIFOSINE,52,1326
BT-474,GDC-0879,52,1326
BT-474,RO4929097,52,1326
BT-474,NAVITOCLAX,52,1326
BT-474,MK-2206,52,1326
BT-474,AZD5363,52,1326
BT-474,4-HYDROXYTAMOXIFEN,52,1326
BT-474,FULVESTRANT,52,1326
BT-474,TIVANTINIB,52,1326
BT-474,AZD4547,52,1326
BT-474,OLAPARIB,52,1326
BT-474,BORTEZOMIB,52,1326
BT-474,CARBOPLATIN PACLITAXEL,52,1326
BT-474,803712-79-0,52,1326
BT-474,957054-30-7,52,1326
BT-474,ASTRAZENECA CHK1 INHIBITOR,52,1326
BT-474,946128-88-7,52,1326
BT-474,XL765,52,1326
BT-474,AZD6738,52,1326
BT-474,LONAFARNIB,52,1326
BT-474,REGORAFENIB,52,1326
BT-474,AZD1480,52,1326
BT-474,ENZASTAURIN,52,1326
BT-474,DEFOROLIMUS,52,1326
BT-474,MK-1775,52,1326
BT-474,5-AZACYTIDINE,52,1326
BT-474,41575-94-4,52,1326
BT-474,VANDETANIB,52,1326
BT-474,"001, RAD",52,1326
BT-474,IDELALISIB,52,1326
BT-474,MED-575,52,1326
BT-474,GEFITINIB,52,1326
BT-474,CRIZOTINIB,52,1326
BT-474,TAMOXIFEN,52,1326
BT-474,SAPITINIB,52,1326
CAL-120,OLAPARIB,34,561
CAL-120,AZD8186,34,561
CAL-120,957054-30-7,34,561
CAL-120,CHLOROQUINE,34,561
CAL-120,AZ20,34,561
CAL-120,AZD5582,34,561
CAL-120,AZD2014,34,561
CAL-120,946128-88-7,34,561
CAL-120,SELUMETINIB,34,561
CAL-120,ONALESPIB,34,561
CAL-120,AZD6738,34,561
CAL-120,AZD7762,34,561
CAL-120,CARFILZOMIB,34,561
CAL-120,ASTRAZENECA SLC16A4 INHIBITOR,34,561
CAL-120,VORINOSTAT,34,561
CAL-120,RAF265,34,561
CAL-120,AZD1480,34,561
CAL-120,ALPELISIB,34,561
CAL-120,BUPARLISIB,34,561
CAL-120,1309805-49-9,34,561
CAL-120,AZD1208,34,561
CAL-120,AFATINIB,34,561
CAL-120,NAVITOCLAX,34,561
CAL-120,5-AZACYTIDINE,34,561
CAL-120,MK-2206,34,561
CAL-120,AZD4320,34,561
CAL-120,AZD5363,34,561
CAL-120,ASTRAZENECA PIP5K1 INHIBITOR,34,561
CAL-120,"001, RAD",34,561
CAL-120,AZD3463,34,561
CAL-120,BAY 65-1942,34,561
CAL-120,CEDIRANIB,34,561
CAL-120,AZD4547,34,561
CAL-120,SAPITINIB,34,561
CAL-148,OLAPARIB,19,171
CAL-148,AZD1208,19,171
CAL-148,AZD8186,19,171
CAL-148,AFATINIB,19,171
CAL-148,957054-30-7,19,171
CAL-148,MK-2206,19,171
CAL-148,AZD4320,19,171
CAL-148,AZD2014,19,171
CAL-148,ASTRAZENECA PIP5K1 INHIBITOR,19,171
CAL-148,AZD5363,19,171
CAL-148,SELUMETINIB,19,171
CAL-148,AZD6738,19,171
CAL-148,AZD3463,19,171
CAL-148,ASTRAZENECA SLC16A4 INHIBITOR,19,171
CAL-148,AZD4547,19,171
CAL-148,ALPELISIB,19,171
CAL-148,BUPARLISIB,19,171
CAL-148,SAPITINIB,19,171
CAL-148,1309805-49-9,19,171
CAL-51,OLAPARIB,19,171
CAL-51,AZD1208,19,171
CAL-51,AZD8186,19,171
CAL-51,AFATINIB,19,171
CAL-51,957054-30-7,19,171
CAL-51,MK-2206,19,171
CAL-51,AZD4320,19,171
CAL-51,AZD2014,19,171
CAL-51,ASTRAZENECA PIP5K1 INHIBITOR,19,171
CAL-51,AZD5363,19,171
CAL-51,SELUMETINIB,19,171
CAL-51,AZD6738,19,171
CAL-51,AZD3463,19,171
CAL-51,ASTRAZENECA SLC16A4 INHIBITOR,19,171
CAL-51,AZD4547,19,171
CAL-51,ALPELISIB,19,171
CAL-51,BUPARLISIB,19,171
CAL-51,SAPITINIB,19,171
CAL-51,1309805-49-9,19,171
DU4475,OLAPARIB,19,171
DU4475,AZD1208,19,171
DU4475,AZD8186,19,171
DU4475,AFATINIB,19,171
DU4475,957054-30-7,19,171
DU4475,MK-2206,19,171
DU4475,AZD4320,19,171
DU4475,AZD2014,19,171
DU4475,ASTRAZENECA PIP5K1 INHIBITOR,19,171
DU4475,AZD5363,19,171
DU4475,SELUMETINIB,19,171
DU4475,AZD6738,19,171
DU4475,AZD3463,19,171
DU4475,ASTRAZENECA SLC16A4 INHIBITOR,19,171
DU4475,AZD4547,19,171
DU4475,ALPELISIB,19,171
DU4475,BUPARLISIB,19,171
DU4475,SAPITINIB,19,171
DU4475,1309805-49-9,19,171
EVSA-T,AZ12419304,15,105
EVSA-T,CARBOPLATIN PACLITAXEL,15,105
EVSA-T,957054-30-7,15,105
EVSA-T,CHLOROQUINE,15,105
EVSA-T,41575-94-4,15,105
EVSA-T,MK-2206,15,105
EVSA-T,AZD2014,15,105
EVSA-T,AZD5363,15,105
EVSA-T,"001, RAD",15,105
EVSA-T,SELUMETINIB,15,105
EVSA-T,TRAMETINIB,15,105
EVSA-T,AZD6738,15,105
EVSA-T,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),15,105
EVSA-T,FULVESTRANT,15,105
EVSA-T,TAMOXIFEN,15,105
HCC1143,OLAPARIB,19,171
HCC1143,AZD1208,19,171
HCC1143,AZD8186,19,171
HCC1143,AFATINIB,19,171
HCC1143,957054-30-7,19,171
HCC1143,MK-2206,19,171
HCC1143,AZD4320,19,171
HCC1143,AZD2014,19,171
HCC1143,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC1143,AZD5363,19,171
HCC1143,SELUMETINIB,19,171
HCC1143,AZD6738,19,171
HCC1143,AZD3463,19,171
HCC1143,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC1143,AZD4547,19,171
HCC1143,ALPELISIB,19,171
HCC1143,BUPARLISIB,19,171
HCC1143,SAPITINIB,19,171
HCC1143,1309805-49-9,19,171
HCC1187,OLAPARIB,28,378
HCC1187,AZ12419304,28,378
HCC1187,AZD8186,28,378
HCC1187,957054-30-7,28,378
HCC1187,CHLOROQUINE,28,378
HCC1187,AZD5582,28,378
HCC1187,AZD2014,28,378
HCC1187,SELUMETINIB,28,378
HCC1187,TRAMETINIB,28,378
HCC1187,AZD6738,28,378
HCC1187,AZD7762,28,378
HCC1187,ASTRAZENECA SLC16A4 INHIBITOR,28,378
HCC1187,ALPELISIB,28,378
HCC1187,BUPARLISIB,28,378
HCC1187,1309805-49-9,28,378
HCC1187,AZD1208,28,378
HCC1187,AFATINIB,28,378
HCC1187,MK-2206,28,378
HCC1187,AZD4320,28,378
HCC1187,AZD5363,28,378
HCC1187,ASTRAZENECA PIP5K1 INHIBITOR,28,378
HCC1187,"001, RAD",28,378
HCC1187,AZD3463,28,378
HCC1187,FULVESTRANT,28,378
HCC1187,GEFITINIB,28,378
HCC1187,TAMOXIFEN,28,378
HCC1187,AZD4547,28,378
HCC1187,SAPITINIB,28,378
HCC1395,OLAPARIB,31,465
HCC1395,AZ12419304,31,465
HCC1395,CARBOPLATIN PACLITAXEL,31,465
HCC1395,AZD8186,31,465
HCC1395,957054-30-7,31,465
HCC1395,CHLOROQUINE,31,465
HCC1395,AZD5582,31,465
HCC1395,AZD2014,31,465
HCC1395,SELUMETINIB,31,465
HCC1395,TRAMETINIB,31,465
HCC1395,AZD6738,31,465
HCC1395,AZD7762,31,465
HCC1395,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),31,465
HCC1395,ASTRAZENECA SLC16A4 INHIBITOR,31,465
HCC1395,ALPELISIB,31,465
HCC1395,BUPARLISIB,31,465
HCC1395,1309805-49-9,31,465
HCC1395,AZD1208,31,465
HCC1395,AFATINIB,31,465
HCC1395,41575-94-4,31,465
HCC1395,MK-2206,31,465
HCC1395,AZD4320,31,465
HCC1395,AZD5363,31,465
HCC1395,ASTRAZENECA PIP5K1 INHIBITOR,31,465
HCC1395,"001, RAD",31,465
HCC1395,AZD3463,31,465
HCC1395,GEFITINIB,31,465
HCC1395,FULVESTRANT,31,465
HCC1395,TAMOXIFEN,31,465
HCC1395,AZD4547,31,465
HCC1395,SAPITINIB,31,465
HCC1419,PEVONEDISTAT,51,1275
HCC1419,AZ12419304,51,1275
HCC1419,ENTINOSTAT,51,1275
HCC1419,TEMSIROLIMUS,51,1275
HCC1419,CHLOROQUINE,51,1275
HCC1419,1224844-38-5,51,1275
HCC1419,AZD5582,51,1275
HCC1419,AZD2014,51,1275
HCC1419,SELUMETINIB,51,1275
HCC1419,TRAMETINIB,51,1275
HCC1419,781661-94-7,51,1275
HCC1419,ONALESPIB,51,1275
HCC1419,AZD7762,51,1275
HCC1419,CARFILZOMIB,51,1275
HCC1419,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),51,1275
HCC1419,VORINOSTAT,51,1275
HCC1419,RAF265,51,1275
HCC1419,PERIFOSINE,51,1275
HCC1419,GDC-0879,51,1275
HCC1419,RO4929097,51,1275
HCC1419,NAVITOCLAX,51,1275
HCC1419,MK-2206,51,1275
HCC1419,AZD5363,51,1275
HCC1419,4-HYDROXYTAMOXIFEN,51,1275
HCC1419,FULVESTRANT,51,1275
HCC1419,TIVANTINIB,51,1275
HCC1419,AZD4547,51,1275
HCC1419,OLAPARIB,51,1275
HCC1419,BORTEZOMIB,51,1275
HCC1419,CARBOPLATIN PACLITAXEL,51,1275
HCC1419,803712-79-0,51,1275
HCC1419,957054-30-7,51,1275
HCC1419,ASTRAZENECA CHK1 INHIBITOR,51,1275
HCC1419,946128-88-7,51,1275
HCC1419,XL765,51,1275
HCC1419,AZD6738,51,1275
HCC1419,LONAFARNIB,51,1275
HCC1419,REGORAFENIB,51,1275
HCC1419,AZD1480,51,1275
HCC1419,ENZASTAURIN,51,1275
HCC1419,DEFOROLIMUS,51,1275
HCC1419,MK-1775,51,1275
HCC1419,5-AZACYTIDINE,51,1275
HCC1419,41575-94-4,51,1275
HCC1419,"001, RAD",51,1275
HCC1419,IDELALISIB,51,1275
HCC1419,MED-575,51,1275
HCC1419,GEFITINIB,51,1275
HCC1419,CRIZOTINIB,51,1275
HCC1419,TAMOXIFEN,51,1275
HCC1419,SAPITINIB,51,1275
HCC1428,OLAPARIB,19,171
HCC1428,AZD1208,19,171
HCC1428,AZD8186,19,171
HCC1428,AFATINIB,19,171
HCC1428,957054-30-7,19,171
HCC1428,MK-2206,19,171
HCC1428,AZD4320,19,171
HCC1428,AZD2014,19,171
HCC1428,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC1428,AZD5363,19,171
HCC1428,SELUMETINIB,19,171
HCC1428,AZD6738,19,171
HCC1428,AZD3463,19,171
HCC1428,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC1428,AZD4547,19,171
HCC1428,ALPELISIB,19,171
HCC1428,BUPARLISIB,19,171
HCC1428,SAPITINIB,19,171
HCC1428,1309805-49-9,19,171
HCC1500,PEVONEDISTAT,45,990
HCC1500,ENTINOSTAT,45,990
HCC1500,TEMSIROLIMUS,45,990
HCC1500,CHLOROQUINE,45,990
HCC1500,1224844-38-5,45,990
HCC1500,AZD2014,45,990
HCC1500,SELUMETINIB,45,990
HCC1500,TRAMETINIB,45,990
HCC1500,781661-94-7,45,990
HCC1500,ONALESPIB,45,990
HCC1500,AZD7762,45,990
HCC1500,CARFILZOMIB,45,990
HCC1500,VORINOSTAT,45,990
HCC1500,RAF265,45,990
HCC1500,PERIFOSINE,45,990
HCC1500,GDC-0879,45,990
HCC1500,RO4929097,45,990
HCC1500,NAVITOCLAX,45,990
HCC1500,MK-2206,45,990
HCC1500,AZD5363,45,990
HCC1500,4-HYDROXYTAMOXIFEN,45,990
HCC1500,FULVESTRANT,45,990
HCC1500,TIVANTINIB,45,990
HCC1500,AZD4547,45,990
HCC1500,OLAPARIB,45,990
HCC1500,BORTEZOMIB,45,990
HCC1500,803712-79-0,45,990
HCC1500,ASTRAZENECA CHK1 INHIBITOR,45,990
HCC1500,946128-88-7,45,990
HCC1500,XL765,45,990
HCC1500,LONAFARNIB,45,990
HCC1500,REGORAFENIB,45,990
HCC1500,AZD1480,45,990
HCC1500,ENZASTAURIN,45,990
HCC1500,DEFOROLIMUS,45,990
HCC1500,MK-1775,45,990
HCC1500,5-AZACYTIDINE,45,990
HCC1500,VANDETANIB,45,990
HCC1500,"001, RAD",45,990
HCC1500,IDELALISIB,45,990
HCC1500,MED-575,45,990
HCC1500,GEFITINIB,45,990
HCC1500,CRIZOTINIB,45,990
HCC1500,TAMOXIFEN,45,990
HCC1500,SAPITINIB,45,990
HCC1569,AZ12419304,19,171
HCC1569,CARBOPLATIN PACLITAXEL,19,171
HCC1569,957054-30-7,19,171
HCC1569,CHLOROQUINE,19,171
HCC1569,41575-94-4,19,171
HCC1569,MK-2206,19,171
HCC1569,AZD5582,19,171
HCC1569,AZD2014,19,171
HCC1569,AZD5363,19,171
HCC1569,"001, RAD",19,171
HCC1569,SELUMETINIB,19,171
HCC1569,TRAMETINIB,19,171
HCC1569,AZD6738,19,171
HCC1569,AZD7762,19,171
HCC1569,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),19,171
HCC1569,GEFITINIB,19,171
HCC1569,FULVESTRANT,19,171
HCC1569,TAMOXIFEN,19,171
HCC1569,SAPITINIB,19,171
HCC1806,OLAPARIB,19,171
HCC1806,AZD1208,19,171
HCC1806,AZD8186,19,171
HCC1806,AFATINIB,19,171
HCC1806,957054-30-7,19,171
HCC1806,MK-2206,19,171
HCC1806,AZD4320,19,171
HCC1806,AZD2014,19,171
HCC1806,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC1806,AZD5363,19,171
HCC1806,SELUMETINIB,19,171
HCC1806,AZD6738,19,171
HCC1806,AZD3463,19,171
HCC1806,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC1806,AZD4547,19,171
HCC1806,ALPELISIB,19,171
HCC1806,BUPARLISIB,19,171
HCC1806,SAPITINIB,19,171
HCC1806,1309805-49-9,19,171
HCC1937,OLAPARIB,19,171
HCC1937,AZD1208,19,171
HCC1937,AZD8186,19,171
HCC1937,AFATINIB,19,171
HCC1937,957054-30-7,19,171
HCC1937,MK-2206,19,171
HCC1937,AZD4320,19,171
HCC1937,AZD2014,19,171
HCC1937,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC1937,AZD5363,19,171
HCC1937,SELUMETINIB,19,171
HCC1937,AZD6738,19,171
HCC1937,AZD3463,19,171
HCC1937,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC1937,AZD4547,19,171
HCC1937,ALPELISIB,19,171
HCC1937,BUPARLISIB,19,171
HCC1937,SAPITINIB,19,171
HCC1937,1309805-49-9,19,171
HCC1954,AZ12419304,19,171
HCC1954,CARBOPLATIN PACLITAXEL,19,171
HCC1954,957054-30-7,19,171
HCC1954,CHLOROQUINE,19,171
HCC1954,41575-94-4,19,171
HCC1954,MK-2206,19,171
HCC1954,AZD5582,19,171
HCC1954,AZD2014,19,171
