drug_name,smiles,inchikey,status,resolved_name
1-BETA-D-XYLOFURANOSYLURACIL,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,DRTQHJPVMGBUCF-PXBUCIJWSA-N,OK,1-BETA-D-XYLOFURANOSYLURACIL
1-DOCOSANOL,CCCCCCCCCCCCCCCCCCCCCCO,NOPFSRXAKWQILS-UHFFFAOYSA-N,OK,1-DOCOSANOL
1-HEXADECANOL,CCCCCCCCCCCCCCCCO,BXWNKGSJHAJOGX-UHFFFAOYSA-N,OK,1-HEXADECANOL
1-METHYL-D-TRYPTOPHAN,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,ZADWXFSZEAPBJS-SNVBAGLBSA-N,OK,1-METHYL-D-TRYPTOPHAN
"1-[(3S,9R,10R)-12-[(2S)-1-(DIMETHYLAMINO)PROPAN-2-YL]-9-[[(4-FLUOROPHENYL)SULFONYL-METHYLAMINO]METHYL]-3,10-DIMETHYL-13-OXO-2,8-DIOXA-12-AZABICYCLO[12.4.0]OCTADECA-1(14),15,17-TRIEN-16-YL]-3-PHENYLUREA",CC1CCCCOC(C(CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)C(C)CN(C)C)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,BKTXRPJVVXUPPO-PNCWTNKOSA-N,OK,"1-[(3S,9R,10R)-12-[(2S)-1-(DIMETHYLAMINO)PROPAN-2-YL]-9-[[(4-FLUOROPHENYL)SULFONYL-METHYLAMINO]METHYL]-3,10-DIMETHYL-13-OXO-2,8-DIOXA-12-AZABICYCLO[12.4.0]OCTADECA-1(14),15,17-TRIEN-16-YL]-3-PHENYLUREA"
10-DEACETYLBACCATIN III,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O,YWLXLRUDGLRYDR-ZHPRIASZSA-N,OK,10-DEACETYLBACCATIN III
10-EPI-ACLACINOMYCIN A,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O,USZYSDMBJDPRIF-AMHJHPIGSA-N,OK,10-EPI-ACLACINOMYCIN A
10-HYDROXYCAMPTOTHECIN,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O,HAWSQZCWOQZXHI-FQEVSTJZSA-N,OK,10-HYDROXYCAMPTOTHECIN
1001645-58-4,CCC1=C(C=CC(=C1)C(=O)N)N2C3=NC=CC(=C3C(=N2)C(C)C)N4C=C(N=C4)C5=CN(N=C5)C,NVVPMZUGELHVMH-UHFFFAOYSA-N,OK,TAS-116
10030-85-0,C(C(C1C(=C(C(=O)O1)O)O)O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,OK,Ascorbic acid
10058-F4,CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2,SVXDHPADAXBMFB-JXMROGBWSA-N,OK,c-Myc inhibitor
10074-G5,C1=CC=C(C=C1)C2=CC=CC=C2NC3=CC=C(C4=NON=C34)[N+](=O)[O-],KMJPYSQOCBYMCF-UHFFFAOYSA-N,OK,c-Myc inhibitor II
1032350-13-2,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N.Cl.Cl,HWUHTJIKQZZBRA-UHFFFAOYSA-N,OK,"8-[4-(1-aminocyclobutyl)phenyl]-9-phenyl-2H-[1,2,4]triazolo[3,4-f][1,6]naphthyridin-3-one;dihydrochloride"
10356-76-0,C1C(C(OC1N2C=C(C(=NC2=O)N)F)CO)O,IDYKCXHJJGMAEV-RRKCRQDMSA-N,OK,10356-76-0
10402-53-6,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,BPMQVOKMMQFZGV-UHFFFAOYSA-N,OK,10402-53-6
1047953-91-2,COCCOC1=NN(C(=N1)C2=CC(=C(C=C2)Cl)Cl)C3=CC=C(C=C3)NC(=O)CCl,TWJGQZBSEMDPQP-UHFFFAOYSA-N,OK,"2-chloro-N-[4-[5-(3,4-dichlorophenyl)-3-(2-methoxyethoxy)-1,2,4-triazol-1-yl]phenyl]acetamide"
1062368-24-4,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3,CDOVNWNANFFLFJ-UHFFFAOYSA-N,OK,"4-[6-(4-piperazin-1-ylphenyl)pyrazolo[1,5-a]pyrimidin-3-yl]quinoline"
1072959-67-1,CN(C)CCOC1=C(C=CC(=C1)C2=CNN=C2)NC(=O)C3COC4=CC=CC=C4O3,OQWZIAVXCYIZNN-UHFFFAOYSA-N,OK,"N-[2-[2-(dimethylamino)ethoxy]-4-(1H-pyrazol-4-yl)phenyl]-2,3-dihydro-1,4-benzodioxine-3-carboxamide"
1080622-86-1,COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC,ILBRKJBKDGCSCB-UHFFFAOYSA-N,OK,"2-(6,7-dimethoxyquinazolin-4-yl)-5-pyridin-2-yl-1,2,4-triazol-3-amine"
108341-18-0,C1=CC(=C(C=C1C(CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O,LNBCGLZYLJMGKP-LUDZCAPTSA-N,OK,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid;hydrate"
108740-89-2,CC(=O)OC1CC2(C(CCC2O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,XLJORQYAOTYVQS-UHFFFAOYSA-N,OK,"[6-hydroxy-18-(methoxymethyl)-1,5-dimethyl-11,16-dioxo-13,17-dioxapentacyclo[10.6.1.02,10.05,9.015,19]nonadeca-2(10),12(19),14-trien-3-yl] acetate"
1093403-33-8,CC1=C(SC(=N1)C2=CN=CC=C2)C(=O)NC3=CC=CC=C3C4=CN5C(=CSC5=N4)CN6CCOCC6,LAMQVIQMVKWXOC-UHFFFAOYSA-N,OK,"4-methyl-N-[2-[3-(morpholin-4-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]-2-pyridin-3-yl-1,3-thiazole-5-carboxamide"
1095382-05-0,CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C,GFLQCBTXTRCREJ-UHFFFAOYSA-N,OK,"3-[[4-[6-bromo-2-[4-(4-methylpiperazin-1-yl)phenyl]-1H-imidazo[4,5-b]pyridin-7-yl]piperazin-1-yl]methyl]-5-methyl-1,2-oxazole"
1096708-71-2,CC(C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,VWMJHAFYPMOMGF-ZCFIWIBFSA-N,OK,"2-[(1R)-1-[(6-amino-5-chloropyrimidine-4-carbonyl)amino]ethyl]-N-[5-chloro-4-(trifluoromethyl)-2-pyridinyl]-1,3-thiazole-5-carboxamide"
11-CIS RETINOIC ACID,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-JPXMXQIXSA-N,OK,11-CIS RETINOIC ACID
110025-28-0,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3,MHJBZVSGOZTKRH-OCOZRVBESA-N,OK,4-[(E)-1-[4-[2-(methylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol
1101810-02-9,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C4CC4)C5=CC=C(C=C5)NC(=S)NCCO,JWGVUDPAMQEIJU-INIZCTEOSA-N,OK,1-[4-[4-(1-cyclopropylsulfonylcyclopropyl)-6-[(3S)-3-methylmorpholin-4-yl]pyrimidin-2-yl]phenyl]-3-(2-hydroxyethyl)thiourea
110448-33-4,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I.Cl,KDDALCDYHZIZMH-UHFFFAOYSA-N,OK,"1-(5-iodonaphthalen-1-yl)sulfonyl-1,4-diazepane;hydrochloride"
1111636-35-1,C1=CNC2=NC=C(C=C21)C3=NN(C=C3C4=NC(=NC=C4)NCCC#N)CC(F)F,HFYMVDKBZONUOJ-UHFFFAOYSA-N,OK,"3-[[4-[1-(2,2-difluoroethyl)-3-(1H-pyrrolo[2,3-b]pyridin-5-yl)pyrazol-4-yl]pyrimidin-2-yl]amino]propanenitrile"
1118807-13-8,COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC,LXFKEVQQSKQXPR-UHFFFAOYSA-N,OK,"N-(6-chloro-1,3-benzothiazol-2-yl)-3-(3,4-dimethoxyphenyl)propanamide"
1124329-14-1,CN1CCC(CC1)OC2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C(=O)N4C)C5CCCC5)OC,YUKWVHPTFRQHMF-UHFFFAOYSA-N,OK,9-cyclopentyl-2-[2-methoxy-4-(1-methylpiperidin-4-yl)oxyanilino]-7-methylpurin-8-one
112648-68-7,CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC,LUFAORPFSVMJIW-ZRJUGLEFSA-N,OK,"1-[6-[[(8R,9S,13S,14S,17S)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]amino]hexyl]pyrrole-2,5-dione"
1134156-31-2,C1=CC(=CC=C1COCC2C(C(C(O2)N3C4=NC=NC(=C4N=C3NCC5=CC(=C(C=C5)Cl)Cl)N)O)O)C#N,ZXGGCBQORXDVTE-UMCMBGNQSA-N,OK,"4-[[(2R,3S,4R,5R)-5-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-3,4-dihydroxyoxolan-2-yl]methoxymethyl]benzonitrile"
1144068-46-1,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7,QLHHRYZMBGPBJG-UHFFFAOYSA-N,OK,1144068-46-1
1149705-71-4,CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N,LHGWWAFKVCIILM-AMZGXZFVSA-N,OK,"2-[[(2R)-butan-2-yl]amino]-4-N-[(1S,5R)-8-[5-(cyclopropanecarbonyl)-2-pyridinyl]-8-azabicyclo[3.2.1]octan-3-yl]-5-methylbenzene-1,4-dicarboxamide"
1155877-97-6,COC1=C(C=C(C=C1)CC2=CC=C(C=C2)NC(=O)N)C3=CC(=CC=C3)Cl,RJJLUTWHJUDZFP-UHFFFAOYSA-N,OK,[4-[[3-(3-chlorophenyl)-4-methoxyphenyl]methyl]phenyl]urea
1161205-04-4,COC1=C(C=CC(=C1)NC(=O)C2=CC=CC=N2)Cl,ARYUXFNGXHNNDM-UHFFFAOYSA-N,OK,N-(4-chloro-3-methoxyphenyl)pyridine-2-carboxamide
1166227-08-2,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CSC(=N3)C(C)(C)C,HBPXWEPKNBHKAX-NSHDSACASA-N,OK,"(2S)-1-N-[5-(2-tert-butyl-1,3-thiazol-4-yl)-4-methyl-1,3-thiazol-2-yl]pyrrolidine-1,2-dicarboxamide"
1169562-71-3,C1CC(NC1)C2=NC3=C(C(=O)N2)OC4=C3C=C(C=C4)Cl.Cl,UNDKJUKLBNARIZ-FVGYRXGTSA-N,OK,"8-chloro-2-[(2S)-pyrrolidin-2-yl]-3H-[1]benzofuro[3,2-d]pyrimidin-4-one;hydrochloride"
117048-62-1,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O,HVXBOLULGPECHP-UHFFFAOYSA-N,OK,"2-methoxy-5-[2-(3,4,5-trimethoxyphenyl)ethenyl]phenol"
1174046-72-0,C1=CC(=CC=C1C2=CNC=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F)F,PDYXPCKITKHFOZ-UHFFFAOYSA-N,OK,N-[4-[(2-amino-3-chloro-4-pyridinyl)oxy]-3-fluorophenyl]-5-(4-fluorophenyl)-4-oxo-1H-pyridine-3-carboxamide
1194044-20-6,CC1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F,MJQMRGWYPNIERM-UHFFFAOYSA-N,OK,"(4S)-4-(2,4-difluoro-5-pyrimidin-5-ylphenyl)-4-methyl-5,6-dihydro-1,3-thiazin-2-amine"
1201902-80-8,B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,YTXSYWAKVMZICI-PVCZSOGJSA-N,OK,"4-(carboxymethyl)-2-[(1R)-1-[[2-[(2,5-dichlorobenzoyl)amino]acetyl]amino]-3-methylbutyl]-6-oxo-1,3,2-dioxaborinane-4-carboxylic acid"
1202884-94-3,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5,GMASZVAHNYVURN-UHFFFAOYSA-N,OK,1202884-94-3
1206101-20-3,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,RIJLVEAXPNLDTC-UHFFFAOYSA-N,OK,"N-[5-[4-[(1,1-dioxo-1,4-thiazinan-4-yl)methyl]phenyl]-[1,2,4]triazolo[1,5-a]pyridin-2-yl]cyclopropanecarboxamide"
121268-17-5,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],DCSBSVSZJRSITC-UHFFFAOYSA-M,OK,sodium;(4-amino-1-hydroxy-1-phosphonobutyl)-hydroxyphosphinate;trihydrate
1214265-56-1,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl,APHGZZPEOCCYNO-UHFFFAOYSA-N,OK,N-[3-[5-chloro-2-[4-(4-methylpiperazin-1-yl)anilino]pyrimidin-4-yl]oxyphenyl]prop-2-enamide
1218942-37-0,CN1C(=O)C=C2C(=C1C3=CC(=CC=C3)N(C)C)C(=O)N(N2)C4=CC=CC=C4Cl,RGYQPQARIQKJKH-UHFFFAOYSA-N,OK,"2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1H-pyrazolo[4,3-c]pyridine-3,6-dione"
122111-05-1,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl,OKKDEIYWILRZIA-DNSZWREKSA-N,OK,"4-amino-1-[(2S,4S,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one;hydrochloride"
1221186-53-3,CN1C2=C(C3=C1C(=O)N(N=C3)CC4=CC(=CC=C4)N)SC(=C2)S(=O)C,ZWKJWVSEDISQIS-UHFFFAOYSA-N,OK,"10-[(3-aminophenyl)methyl]-7-methyl-4-methylsulfinyl-3-thia-7,10,11-triazatricyclo[6.4.0.02,6]dodeca-1(8),2(6),4,11-tetraen-9-one"
1222781-70-5,COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32.Cl,NGQIBUUFXDPHKT-UHFFFAOYSA-N,OK,1-(4-methoxyphenyl)-N-(naphthalen-1-ylmethyl)methanamine;hydrochloride
1224844-38-5,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,GYLDXIAOMVERTK-UHFFFAOYSA-N,OK,"5-(4-amino-1-propan-2-ylpyrazolo[3,4-d]pyrimidin-3-yl)-1,3-benzoxazol-2-amine"
1231930-82-7,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F.CS(=O)(=O)O,NCJPFQPEVDHJAZ-UHFFFAOYSA-N,OK,N-[5-[(4-ethylpiperazin-1-yl)methyl]-2-pyridinyl]-5-fluoro-4-(7-fluoro-2-methyl-3-propan-2-ylbenzimidazol-5-yl)pyrimidin-2-amine;methanesulfonic acid
1233948-35-0,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)C3=CC=C(S3)C#N)C,GRYXROIHHXHFND-UHFFFAOYSA-N,OK,N-[5-(5-cyanothiophen-2-yl)-2-methylphenyl]-4-methylbenzenesulfonamide
1243244-14-5,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,XXYGTCZJJLTAGH-UHFFFAOYSA-N,OK,2-[5-methyl-6-(2-methyl-4-pyridinyl)-3-pyridinyl]-N-(5-pyrazin-2-yl-2-pyridinyl)acetamide
1246086-78-1,C1=CC=C(C(=C1)NS(=O)(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl)Cl,IXHCGJXBIHHIEF-UHFFFAOYSA-N,OK,N-[3-chloro-4-[(2-chlorophenyl)sulfamoyl]phenyl]pyridine-2-carboxamide
1247819-59-5,CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-],RMAMGGNACJHXHO-UHFFFAOYSA-N,OK,1247819-59-5
124936-75-0,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.Cl,FSUOGWPKKKHHHM-VEIFNGETSA-N,OK,2-[(1R)-3-[di(propan-2-yl)amino]-1-phenylpropyl]-4-methylphenol;hydrochloride
1252806-86-2,CCC(C)C(C(=O)N1CCC2(CCC3=CC=CC=C32)CC1)NC(=O)C(CC4CCCCC4)NC(=O)C5=CC=NO5,ZXMXAOYWSLZLQM-NZNGGYBSSA-N,OK,1252806-86-2
125316-60-1,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O,LDGIHZJOIQSHPB-UHFFFAOYSA-N,OK,6-[3-(1-adamantyl)-4-hydroxyphenyl]naphthalene-2-carboxylic acid
1260907-17-2,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,AAAQFGUYHFJNHI-SFHVURJKSA-N,OK,"2-[(4S)-6-(4-chlorophenyl)-8-methoxy-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-4-yl]-N-ethylacetamide"
1262770-73-9,CC(C)CNC1=NC(=NC=C1)NCC2=CSC(=N2)C3=CC=CC=C3,DGRJOOOHPBSAHD-UHFFFAOYSA-N,OK,1262770-73-9
1265229-25-1,CC1=NC2=C(N1)C=C(C=C2)N3C(=C(C=N3)C(=O)C4=CC5=CC=CC=C5N4)N,BEMNJULZEQTDJY-UHFFFAOYSA-N,OK,[5-amino-1-(2-methyl-3H-benzimidazol-5-yl)pyrazol-4-yl]-(1H-indol-2-yl)methanone
1265789-88-5,CC(C)(C)C1=CC(=C(S1)NC(=O)NC2=CC3=C(C=C2)NN=C3)C(=O)O,BSRFCMMJUFQEOX-UHFFFAOYSA-N,OK,5-tert-butyl-2-(1H-indazol-5-ylcarbamoylamino)thiophene-3-carboxylic acid
1268524-70-4,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,DNVXATUJJDPFDM-KRWDZBQOSA-N,OK,"tert-butyl 2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetate"
128517-07-7,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,OHRURASPPZQGQM-GCCNXGTGSA-N,OK,"(1S,4S,7Z,10S,16E,21R)-7-ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone"
129-56-6,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,ACPOUJIDANTYHO-UHFFFAOYSA-N,OK,Rhodamine
1300031-49-5,,,Manual,1300031-49-5
